epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2847,1.33492,3.46893,1.83171,0.35037,0.35869,0.21018,0.10949,1.55659,3.21862,2.31346,0.000236413,0.000236413,0.000236413
2,24.4306,1.30339,2.84406,1.79304,0.3689,0.4913,0.40496,0.20167,1.72452,2.47679,2.48429,0.000468542,0.000468542,0.000468542
3,34.687,1.34237,2.58191,1.8054,0.29867,0.7147,0.50519,0.27357,1.69105,2.53175,2.34639,0.000694781,0.000694781,0.000694781
4,46.6003,1.3447,2.4183,1.78596,0.44637,0.52701,0.51372,0.28379,1.59314,1.89768,2.20661,0.000687493,0.000687493,0.000687493
5,56.3476,1.30327,2.31109,1.74866,0.3775,0.71837,0.53777,0.26309,1.76421,1.91483,2.44772,0.000678657,0.000678657,0.000678657
6,66.1351,1.29168,2.19496,1.72259,0.47453,0.6319,0.57135,0.29813,1.61127,1.78994,2.16092,0.000669821,0.000669821,0.000669821
7,76.0993,1.30594,2.14656,1.73856,0.41398,0.68923,0.60772,0.31165,1.65232,1.71158,2.21497,0.000660986,0.000660986,0.000660986
8,87.7669,1.27623,2.07884,1.69629,0.47436,0.63259,0.56709,0.27465,1.65473,1.80731,2.31422,0.00065215,0.00065215,0.00065215
9,97.9758,1.25563,2.03751,1.68559,0.40491,0.74603,0.61349,0.35644,1.43563,1.62257,2.00352,0.000643314,0.000643314,0.000643314
10,107.893,1.26768,1.96428,1.68899,0.48306,0.67029,0.60724,0.33334,1.58932,1.62622,2.18652,0.000634478,0.000634478,0.000634478
11,118.154,1.24098,1.92322,1.67617,0.47859,0.69577,0.64279,0.34927,1.49731,1.5928,2.08664,0.000625642,0.000625642,0.000625642
12,128.207,1.22762,1.93351,1.65755,0.53442,0.6781,0.63629,0.36193,1.49363,1.50012,2.04784,0.000616807,0.000616807,0.000616807
